Item id,Price
1,Price2
2,Price2
3,Price1
4,Price2
5,Price2
6,Price1
7,Price1
8,Price2
9,Base_Price
10,Price2
11,Base_Price
12,Price3
13,Price2
14,Price2
15,Base_Price
16,Base_Price
17,Price3
18,Price1
19,Price2
20,Price3
21,Base_Price
22,Price2
23,Price2
24,Price2
25,Price2
26,Base_Price
27,Price2
28,Price2
29,Price4
30,Price2
31,Price1
32,Price2
33,Price2
34,Price2
35,Price2
36,Price2
37,Base_Price
38,Price2
39,Price1
40,Price3
41,Price3
42,Price1
43,Price4
44,Price2
45,Base_Price
46,Price2
47,Price4
48,Price3
49,Base_Price
50,Price2
51,Price4
52,Price1
53,Price3
54,Price2
55,Price2
56,Price1
57,Price2
58,Price2
59,Base_Price
60,Price2
61,Price1
62,Price2
63,Base_Price
64,Price2
65,Price1
66,Price2
67,Price2
68,Price3
69,Price1
70,Price2
71,Price2
72,Price2
73,Base_Price
74,Base_Price
75,Price2
76,Base_Price
77,Price1
78,Price1
79,Price2
80,Price2
81,Price2
82,Price1
83,Price2
84,Price3
85,Price2
86,Price2
87,Price4
88,Price4
89,Price3
90,Base_Price
91,Price2
92,Price2
93,Base_Price
94,Base_Price
95,Price3
96,Price2
97,Price2
98,Price1
99,Price3
100,Price1
101,Price2
102,Price2
103,Price4
104,Price2
105,Price2
106,Base_Price
107,Price3
108,Price2
109,Base_Price
110,Price1
111,Price1
112,Base_Price
113,Price4
114,Price1
115,Price1
116,Price2
117,Price2
118,Base_Price
119,Price2
120,Price1
121,Price2
122,Price2
123,Price4
124,Price2
125,Price2
126,Price4
127,Price3
128,Price2
129,Price2
130,Price3
131,Price2
132,Price4
133,Price2
134,Price2
135,Price1
136,Price2
137,Price2
138,Price2
139,Price2
140,Price2
141,Price1
142,Price3
143,Price1
144,Price3
145,Price2
146,Price1
147,Price2
148,Price3
149,Price2
150,Price1
151,Price2
152,Price2
153,Base_Price
154,Price2
155,Price2
156,Price1
157,Price2
158,Base_Price
159,Price4
160,Price3
161,Price2
162,Price1
163,Price2
164,Price2
165,Price2
166,Price2
167,Price2
168,Price3
169,Price2
170,Base_Price
171,Price1
172,Price2
173,Price2
174,Price2
175,Price4
176,Price3
177,Base_Price
178,Price2
179,Price3
180,Price2
181,Price2
182,Price1
183,Price2
184,Price4
185,Price4
186,Base_Price
187,Price2
188,Price2
189,Price2
190,Price2
191,Price1
192,Price3
193,Price3
194,Price2
195,Price2
196,Price2
197,Base_Price
198,Price2
199,Price2
200,Price2
201,Price1
202,Price4
203,Price4
204,Price1
205,Price2
206,Base_Price
207,Price3
208,Price3
209,Price4
210,Price2
211,Price2
212,Price2
213,Price2
214,Price1
215,Price3
216,Price1
217,Price1
218,Price3
219,Base_Price
220,Price4
221,Base_Price
222,Price2
223,Price2
224,Price2
225,Price1
226,Price1
227,Price3
228,Price2
229,Price1
230,Price2
231,Base_Price
232,Price3
233,Price4
234,Price2
235,Price1
236,Price2
237,Price2
238,Price2
239,Price2
240,Price2
241,Price2
242,Price1
243,Price2
244,Price2
245,Price2
246,Price2
247,Price2
248,Price1
249,Price3
250,Price2
251,Price1
252,Price3
253,Price1
254,Price1
255,Price2
256,Price2
257,Price3
258,Price2
259,Base_Price
260,Price2
261,Base_Price
262,Base_Price
263,Price3
264,Price2
265,Price2
266,Base_Price
267,Price2
268,Base_Price
269,Price1
270,Price3
271,Price2
272,Price2
273,Price2
274,Price2
275,Price1
276,Price4
277,Price3
278,Price3
279,Price2
280,Price2
281,Price2
282,Price2
283,Price1
284,Base_Price
285,Price2
286,Base_Price
287,Price4
288,Price2
289,Price1
290,Price3
291,Price3
292,Price2
293,Price3
294,Price2
295,Base_Price
296,Price3
297,Price1
298,Price4
299,Price3
300,Price2
