Item id,Price
1,Price1
2,Price1
3,Price1
4,Base_Price
5,Price1
6,Price1
7,Base_Price
8,Price1
9,Price1
10,Price1
11,Price1
12,Base_Price
13,Price1
14,Price1
15,Base_Price
16,Price1
17,Price2
18,Base_Price
19,Price2
20,Price1
21,Base_Price
22,Price1
23,Price1
24,Price1
25,Price1
26,Price1
27,Price1
28,Price2
29,Price2
30,Price1
31,Price1
32,Price1
33,Price1
34,Price1
35,Price2
36,Price1
37,Base_Price
38,Price1
39,Price2
40,Price1
41,Price2
42,Price1
43,Price2
44,Price1
45,Price1
46,Base_Price
47,Price3
48,Price1
49,Price1
50,Price2
51,Price1
52,Price1
53,Price2
54,Base_Price
55,Price1
56,Price1
57,Price2
58,Price1
59,Base_Price
60,Price1
61,Price1
62,Price1
63,Base_Price
64,Price2
65,Price1
66,Price1
67,Base_Price
68,Price1
69,Price1
70,Base_Price
71,Price1
72,Price1
73,Base_Price
74,Price1
75,Price1
76,Price1
77,Price1
78,Base_Price
79,Price1
80,Price1
81,Price1
82,Price1
83,Price1
84,Price2
85,Price1
86,Base_Price
87,Price3
88,Price2
89,Price1
90,Price1
91,Price1
92,Price1
93,Price1
94,Base_Price
95,Price2
96,Price1
97,Price1
98,Price1
99,Price1
100,Price1
101,Price1
102,Price1
103,Price3
104,Price1
105,Price1
106,Base_Price
107,Price2
108,Price1
109,Base_Price
110,Price1
111,Base_Price
112,Price1
113,Price2
114,Price1
115,Base_Price
116,Price2
117,Price1
118,Base_Price
119,Price1
120,Price1
121,Price2
122,Price1
123,Price1
124,Price2
125,Base_Price
126,Price2
127,Price1
128,Price1
129,Price2
130,Price1
131,Price2
132,Price2
133,Price2
134,Price1
135,Price1
136,Base_Price
137,Price1
138,Price2
139,Price1
140,Price2
141,Base_Price
142,Price1
143,Base_Price
144,Price2
145,Price1
146,Price1
147,Price1
148,Price2
149,Price1
150,Price1
151,Price1
152,Price1
153,Price1
154,Price1
155,Price1
156,Price1
157,Price1
158,Price1
159,Price2
160,Price2
161,Price1
162,Price1
163,Price1
164,Price2
165,Price1
166,Price2
167,Base_Price
168,Price2
169,Price1
170,Base_Price
171,Price1
172,Price1
173,Price2
174,Base_Price
175,Price2
176,Price1
177,Price1
178,Price2
179,Price1
180,Price1
181,Price2
182,Base_Price
183,Base_Price
184,Price3
185,Price2
186,Base_Price
187,Price2
188,Price1
189,Price1
190,Price1
191,Price1
192,Price2
193,Price1
194,Price1
195,Price2
196,Price1
197,Price2
198,Price1
199,Price1
200,Price1
201,Price1
202,Price2
203,Price2
204,Price1
205,Price1
206,Base_Price
207,Price1
208,Price3
209,Price3
210,Price1
211,Price1
212,Price1
213,Price3
214,Base_Price
215,Price2
216,Price1
217,Price1
218,Price2
219,Base_Price
220,Price1
221,Price3
222,Price1
223,Price1
224,Price2
225,Base_Price
226,Price1
227,Price1
228,Price1
229,Base_Price
230,Price1
231,Price1
232,Price2
233,Price3
234,Price2
235,Base_Price
236,Price1
237,Price1
238,Base_Price
239,Price1
240,Price1
241,Price1
242,Price1
243,Price1
244,Price1
245,Price1
246,Price1
247,Price1
248,Price1
249,Price2
250,Price1
251,Price1
252,Price2
253,Price1
254,Price1
255,Base_Price
256,Price1
257,Price2
258,Price1
259,Base_Price
260,Price1
261,Base_Price
262,Price1
263,Price2
264,Base_Price
265,Price1
266,Base_Price
267,Price1
268,Base_Price
269,Price1
270,Price2
271,Price1
272,Price1
273,Price1
274,Price2
275,Price1
276,Base_Price
277,Base_Price
278,Price2
279,Price1
280,Price1
281,Price2
282,Price1
283,Price2
284,Base_Price
285,Price1
286,Price1
287,Price2
288,Price1
289,Price1
290,Price2
291,Price1
292,Price2
293,Price2
294,Price1
295,Price1
296,Price1
297,Price1
298,Price3
299,Price1
300,Price2
